Name;Default;Type;Changable;Changelog;Description;MinVersion;MaxVersion
allow_url_fopen;"1";bool;INI_SYSTEM;;"This option enables the URL-aware fopen wrappers that enable accessing URL object like files. Default wrappers are provided for the access of remote files using the ftp or http protocol, some extensions like zlib may register additional wrappers.";;
allow_url_include;"0";bool;INI_SYSTEM;"Deprecated as of PHP 7.4.0.";"This option allows the use of URL-aware fopen wrappers with the following functions: include, include_once, require, require_once.";;"7.4"
arg_separator.input;"&";string;INI_PERDIR;;"List of separator(s) used by PHP to parse input URLs into variables.";;
arg_separator.output;"&";string;INI_ALL;;"The separator used in PHP generated URLs to separate arguments.";;
assert.active;"1";bool;INI_ALL;"Warning: This feature has been DEPRECATED as of PHP 8.3.0. Relying on this feature is highly discouraged.";"Enable assert() evaluation. zend.assertions should be used instead to control the behaviour of assert().";;"8.3.0"
assert.bail;"0";bool;INI_ALL;"Warning: This feature has been DEPRECATED as of PHP 8.3.0. Relying on this feature is highly discouraged.";"Terminate script execution on failed assertions.";;"8.3.0"
assert.callback;null;string;INI_ALL;"Warning: This feature has been DEPRECATED as of PHP 8.3.0. Relying on this feature is highly discouraged.";"User function to call on failed assertions.";;"8.3.0"
assert.exception;"0";bool;INI_ALL;"Warning: This feature has been DEPRECATED as of PHP 8.3.0. Relying on this feature is highly discouraged.";"Issue an AssertionError exception for the failed assertion.";;"8.3.0"
assert.quiet_eval;"0";bool;INI_ALL;"Removed as of PHP 8.0.0";"Use the current setting of error_reporting() during assertion expression evaluation. If enabled, no errors are shown (implicit error_reporting(0)) while evaluation. If disabled, errors are shown according to the settings of error_reporting()";;"8.0"
assert.warning;"1";bool;INI_ALL;"Warning: This feature has been DEPRECATED as of PHP 8.3.0. Relying on this feature is highly discouraged.";"Issue a PHP warning for each failed assertion.";;"8.3.0"
auto_append_file;null;string;INI_PERDIR;;"Specifies the name of a file that is automatically parsed after the main file. The file is included as if it was called with the require function, so include_path is used.";;
auto_detect_line_endings;"0";bool;INI_ALL;;"When turned on, PHP will examine the data read by fgets() and file() to see if it is using Unix, MS-Dos or Macintosh line-ending conventions.\n\nThis enables PHP to interoperate with Macintosh systems, but defaults to Off, as there is a very small performance penalty when detecting the EOL conventions for the first line, and also because people using carriage-returns as item separators under Unix systems would experience non-backwards-compatible behaviour.";;
auto_globals_jit;"1";bool;INI_PERDIR;;"When enabled, the SERVER, REQUEST, and ENV variables are created when they're first used (Just In Time) instead of when the script starts. If these variables are not used within a script, having this directive on will result in a performance gain.\n\nWarning\nUsage of SERVER, REQUEST, and ENV variables is checked during the compile time so using them through e.g. variable variables will not cause their initialization.";;
auto_prepend_file;null;string;INI_PERDIR;;"Specifies the name of a file that is automatically parsed before the main file. The file is included as if it was called with the require function, so include_path is used.\n\nThe special value none disables auto-prepending.";;
auto_prepend_file;null;string;INI_PERDIR;;"Specifies the name of a file that is automatically parsed before the main file. The file is included as if it was called with the require function, so include_path is used.";;
bcmath.scale;"0";int;INI_ALL;;"Number of decimal digits for all bcmath functions. See also bcscale().";;
browscap;null;string;INI_SYSTEM;;"Name (e.g.: browscap.ini) and location of browser capabilities file. See also get_browser().";;
cgi.check_shebang_line;"1";bool;INI_SYSTEM;;"Controls whether CGI PHP checks for line starting with #! (shebang) at the top of the running script. This line might be needed if the script support running both as stand-alone script and via PHP CGI. PHP in CGI mode skips this line and ignores its content if this directive is turned on.";;
cgi.discard_path;"0";bool;INI_SYSTEM;;"If this is enabled, the PHP CGI binary can safely be placed outside of the web tree and people will not be able to circumvent .htaccess security.";;
cgi.fix_pathinfo;"1";bool;INI_SYSTEM;;"Provides real PATH_INFO/ PATH_TRANSLATED support for CGI. PHP's previous behaviour was to set PATH_TRANSLATED to SCRIPT_FILENAME, and to not grok what PATH_INFO is. For more information on PATH_INFO, see the CGI specs. Setting this to 1 will cause PHP CGI to fix its paths to conform to the spec. A setting of zero causes PHP to behave as before. It is turned on by default. You should fix your scripts to use SCRIPT_FILENAME rather than PATH_TRANSLATED.";;
cgi.force_redirect;"1";bool;INI_SYSTEM;;"cgi.force_redirect is necessary to provide security running PHP as a CGI under most web servers. Left undefined, PHP turns this on by default. You can turn it off at your own risk.";;
cgi.nph;"0";bool;INI_ALL;;"If cgi.nph is enabled it will force cgi to always sent Status: 200 with every request.";;
cgi.redirect_status_env;null;string;INI_SYSTEM;;"If cgi.force_redirect is turned on, and you are not running under Apache or Netscape (iPlanet) web servers, you may need to set an environment variable name that PHP will look for to know it is OK to continue execution.";;
cgi.rfc2616_headers;"0";bool;INI_ALL;;"If enabled, PHP will send the HTTP headers according to RFC2616. This means that the header 'Content-Type' will be sent before any other header. This is a requirement of the RFC.";;
child_terminate;"0";bool;INI_ALL;;"Specify whether PHP scripts may request child process termination on end of request, see also apache_child_terminate().";;
cli.pager;"";string;INI_ALL;;"External tool to display output from command line.";;
cli.prompt;"\\b \\> ";string;INI_ALL;;"Command line prompt.";;
cli_server.color;"0";bool;INI_ALL;;"Enable the built-in development web server to use ANSI color coding in terminal output.";;
com.allow_dcom;"0";bool;INI_SYSTEM;;"When this is turned on, PHP will be allowed to operate as a D-COM (Distributed COM) client and will allow the PHP script to instantiate COM objects on a remote server.";;
com.autoregister_typelib;"0";bool;INI_ALL;;"When this is turned on, PHP will attempt to register constants from the typelibrary of COM objects that it instantiates, if those objects implement the interfaces required to obtain that information. The case sensitivity of the constants it registers is controlled by the com.autoregister_casesensitive php.ini directive.";;
